course_id,semester,year
HarvardX/HDS3221.1x/1T2016,Spring 2016,Year 4
HarvardX/HDS3221.1x/1T2018a,Spring 2018,Year 6
HarvardX/HDS3221.2x/1T2016,Spring 2016,Year 4
HarvardX/HDS3221.3x/2T2016,Spring 2016,Year 4
HarvardX/HDS3221.3x/1T2018a,Spring 2018,Year 6
HarvardX/HDS3221.4x/2T2016,Spring 2016,Year 4
HarvardX/HDS3221.5x/2T2016,Summer 2016,Year 5
HarvardX/HDS3221.6x/2T2016,Summer 2016,Year 5
HarvardX/HHP100/1T2017,Spring 2017,Year 5
HarvardX/HKS101A/2015T3,Fall 2015,Year 4
HarvardX/HKS101A/1T2017,Spring 2017,Year 5
HarvardX/HKS211.1x/3T2013,Fall 2013,Year 2
HarvardX/HKS211.2x/3T2015,Spring 2015,Year 3
HarvardX/HLS2x/1T2015,Spring 2015,Year 3
Harvardx/HLS2X/T12016,Spring 2016,Year 4
Harvardx/HLS2X/2T2016,Spring 2016,Year 4
Harvardx/HLS2X/1T2017,Spring 2017,Year 5
HarvardX/HLS3x/1T2015,Spring 2015,Year 3
HarvardX/HLS3x/3T2016,Fall 2016,Year 5
HarvardX/HLS4X/3T2016,Fall 2016,Year 5
HarvardX/HLS4X/1T2017,Spring 2017,Year 5
HarvardX/HLS4X/1T2018,Spring 2018,Year 6
HarvardX/HSPH-HMS214x/2013_SOND,Fall 2013,Year 2
HarvardX/HUM1.1x/3T2015,Fall 2015,Year 4
HarvardX/HUM1.2x/3T2015,Fall 2015,Year 4
HarvardX/HUM1.3x/3T2015,Fall 2015,Year 4
HarvardX/HUM1.4x/3T2015,Fall 2015,Year 4
HarvardX/HUM1.5x/3T2015,Fall 2015,Year 4
HarvardX/HUM1.6x/3T2015,Fall 2015,Year 4
HarvardX/HUM1.7x/3T2015,Fall 2015,Year 4
HarvardX/HUM1.8x/3T2015,Fall 2015,Year 4
HarvardX/HUM1.9x/3T2015,Fall 2015,Year 4
HarvardX/HUM12.1x/3T2017,Fall 2017,Year 6
HarvardX/HUM12.2x/3T2017,Fall 2017,Year 6
HarvardX/HUM12x/3T2016,Fall 2016,Year 5
HarvardX/HUM12x/1T2017,Spring 2017,Year 5
HarvardX/HUM12x/1T2018,Spring 2018,Year 6
HarvardX/HUM2.1x/3T2014,Fall 2014,Year 3
HarvardX/HUM2.2x/3T2014,Fall 2014,Year 3
HarvardX/HUM2.3X/3T2014,Fall 2014,Year 3
HarvardX/HUM2.4x/3T2014,Fall 2014,Year 3
HarvardX/HUM2.5x/3T2014,Fall 2014,Year 3
HarvardX/HUM2x/2T2016,Fall 2016,Year 5
HarvardX/HUM2x/2T_2017,Spring 2017,Year 5
HarvardX/HUM2x/3T2017,Fall 2017,Year 6
HarvardX/HUM2x/1T2018,Spring 2018,Year 6
HarvardX/Hum3.1x/1T2016,Fall 2016,Year 5
HarvardX/Hum3.2x/2T2017,Summer 2017,Year 6
HarvardX/MCB63X/3T2015,Summer 2015,Year 4
HarvardX/MCB63X/2T2017,Summer 2017,Year 6
HarvardX/MCB63X/1T2018,Spring 2018,Year 6
HarvardX/MCB64.1x/2T2016,Summer 2016,Year 5
HarvardX/MCB64.1x/2T2017,Fall 2017,Year 6
HarvardX/MCB64.1x/1T2018,Spring 2018,Year 6
HarvardX/MCB80.1x/2013_SOND,Fall 2013,Year 2
HarvardX/MCB80.2x/3T2014,Summer 2014,Year 3
HarvardX/MCB80.3x/3T2015,Fall 2015,Year 4
HarvardX/MUS24.1x/2T2016,Spring 2016,Year 4
HarvardX/MUS24.2x/1T2016,Fall 2015,Year 4
HarvardX/MUS24.2x/3T2017,Fall 2017,Year 6
HarvardX/MUS24.3x/1T2016,Spring 2016,Year 4
HarvardX/MUS24.3x/3T2017,Fall 2017,Year 6
HarvardX/MUS24.4x/1T2016,Summer 2016,Year 5
HarvardX/MUS24.5x/1T2016,Fall 2016,Year 5
HarvardX/MUS24.5x/3T2017,Fall 2017,Year 6
HarvardX/PH125.1x/2T2017,Fall 2017,Year 6
HarvardX/PH125.1x/3T2017,Fall 2017,Year 6
HarvardX/PH125.2x/3T2017,Spring 2018,Year 6
HarvardX/PH201x/2013_SOND,Fall 2013,Year 2
HarvardX/PH207x/2012_Fall,Fall 2012,Year 1
HarvardX/PH210x/1T2014,Spring 2014,Year 2
HarvardX/PH231x/1T2016,Spring 2016,Year 4
HarvardX/PH231x/1T2017,Spring 2017,Year 5
HarvardX/PH278x/2013_Spring,Spring 2013,Year 1
HarvardX/PH425x/2T2017,Spring 2017,Year 5
HarvardX/PH425x/1T2018,Spring 2018,Year 6
HarvardX/PH525.1x/1T2015,Spring 2015,Year 3
HarvardX/PH525.1x/3T-2015,Fall 2015,Year 4
HarvardX/PH525.1x/2T2016,Spring 2016,Year 4
HarvardX/PH525.1x/2T2017,Fall 2017,Year 6
HarvardX/PH525.1x/1T2018,Spring 2018,Year 6
HarvardX/PH525.2x/1T2015,Spring 2015,Year 3
HarvardX/PH525.2x/3T-2015,Fall 2015,Year 4
HarvardX/PH525.2x/2T2016,Spring 2016,Year 4
HarvardX/PH525.2x/2T2017,Fall 2017,Year 6
HarvardX/PH525.2x/1T2018,Spring 2018,Year 6
HarvardX/PH525.3x/1T2015,Spring 2015,Year 3
HarvardX/PH525.3x/3T-2015,Fall 2015,Year 4
HarvardX/PH525.3x/2T2016,Spring 2016,Year 4
HarvardX/PH525.3x/2T2017,Fall 2017,Year 6
HarvardX/PH525.3x/1T2018,Spring 2018,Year 6
HarvardX/PH525.4x/1T2015,Spring 2015,Year 3
HarvardX/PH525.4x/3T2015,Spring 2016,Year 4
HarvardX/PH525.4x/2T2016,Spring 2016,Year 4
HarvardX/PH525.4x/2T2017,Fall 2017,Year 6
HarvardX/PH525.4x/1T2018,Spring 2018,Year 6
HarvardX/PH525.5x/1T2015,Spring 2015,Year 3
HarvardX/PH525.5x/3T2015,Spring 2016,Year 4
HarvardX/PH525.5x/2T2016,Spring 2016,Year 4
HarvardX/PH525.5x/2T2017,Fall 2017,Year 6
HarvardX/PH525.6x/1T2015,Spring 2015,Year 3
HarvardX/PH525.6x/3T2106,Spring 2016,Year 4
HarvardX/PH525.6x/2T2017,Fall 2017,Year 6
HarvardX/PH525.7x/1T2015,Spring 2015,Year 3
HarvardX/PH525.7x/3T2015,Spring 2016,Year 4
HarvardX/PH525.7x/2T2017,Fall 2017,Year 6
HarvardX/PH525.8x/1T2015,Spring 2015,Year 3
HarvardX/PH525x/1T2014,Spring 2014,Year 2
HarvardX/PH526x/3T2016,Fall 2016,Year 5
HarvardX/PH526x/1T2018,Spring 2018,Year 6
HarvardX/PH527x/3T2017,Fall 2017,Year 6
HarvardX/PH555x/2014_T2,Fall 2014,Year 3
HarvardX/PH555x/2017_T2,Summer 2017,Year 6
HarvardX/PH556/2015T3,Spring 2016,Year 4
HarvardX/PH556/1T2017,Spring 2017,Year 5
HarvardX/PH557/3T2015,Fall 2015,Year 4
HarvardX/PH558x/2T2016,Summer 2016,Year 5
HarvardX/PH558x/3T2017,Fall 2017,Year 6
HarvardX/PH559x/3T2017,Fall 2017,Year 6
HarvardX/SOC1.jsx/2016,Fall 2016,Year 5
HarvardX/SPU27.2x/2T2017,Spring 2017,Year 5
HarvardX/SPU27.2x/1T2018,Spring 2018,Year 6
HarvardX/SPU27x/2013_Oct,Fall 2013,Year 2
HarvardX/SPU27x/2015_Q2,Summer 2015,Year 4
HarvardX/SPU27x/1T2017,Spring 2017,Year 5
HarvardX/SPU27x/2T2017,Fall 2017,Year 6
HarvardX/SPU30x/2T2014,Spring 2015,Year 3
HarvardX/SPU30x/2T2016,Fall 2015,Year 4
HarvardX/SPU30x/3T2016,Fall 2016,Year 5
HarvardX/SPU30x/3T2017,Spring 2018,Year 6
HarvardX/SW12.10x/1T2015,Spring 2015,Year 3
HarvardX/SW12.10x/2015,Fall 2015,Year 4
HarvardX/SW12.10x/2016,Spring 2016,Year 4
HarvardX/SW12.1x/2015,Fall 2015,Year 4
HarvardX/SW12.1x/2016,Spring 2016,Year 4
HarvardX/SW12.2x/1T2014,Fall 2013,Year 2
HarvardX/SW12.2x/2015,Fall 2015,Year 4
HarvardX/SW12.2x/2016,Spring 2016,Year 4
HarvardX/SW12.3x/1T2014,Spring 2014,Year 2
HarvardX/SW12.3x/2015,Fall 2015,Year 4
HarvardX/SW12.3x/2016,Spring 2016,Year 4
HarvardX/SW12.4x/1T2014,Spring 2014,Year 2
HarvardX/SW12.4x/2015,Fall 2015,Year 4
HarvardX/SW12.4x/2016,Spring 2016,Year 4
HarvardX/SW12.5x/2T2014,Summer 2014,Year 3
HarvardX/SW12.5x/2015,Fall 2015,Year 4
HarvardX/SW12.5x/2016,Spring 2016,Year 4
HarvardX/SW12.6x/2T2014,Summer 2014,Year 3
HarvardX/SW12.6x/2015,Fall 2015,Year 4
HarvardX/SW12.6x/2016,Spring 2016,Year 4
HarvardX/SW12.7x/3T2014,Fall 2014,Year 3
HarvardX/SW12.7x/2015,Fall 2015,Year 4
HarvardX/SW12.7x/2016,Spring 2016,Year 4
HarvardX/SW12.8x/3T2014,Fall 2014,Year 3
HarvardX/SW12.8x/2015,Fall 2015,Year 4
HarvardX/SW12.8x/2016,Spring 2016,Year 4
HarvardX/SW12.9x/3T2014,Fall 2014,Year 3
HarvardX/SW12.9x/2015,Fall 2015,Year 4
HarvardX/SW12.9x/2016,Spring 2016,Year 4
HarvardX/SW12x/2013_SOND,Fall 2013,Year 2
HarvardX/SW25x/1T2014,Spring 2014,Year 2
HarvardX/SW25x.1/2015,Spring 2016,Year 4
HarvardX/SW38/1T2018,Spring 2018,Year 6
HarvardX/SW47.1x/2014_T3,Fall 2014,Year 3
HarvardX/SW47x/2T2017,Spring 2017,Year 5
HarvardX/SW47x/1T2018,Spring 2018,Year 6
